joke_index,joke_text,nonzero_feature_count,nonzero_features,kl_divergence
42,Coming on valentines day. Fifty shades of grey. There won't be a dry seat in the cinema.,0,[],
43,Did you hear about the midget psychic who escaped from prison? He's a small medium at large.,0,[],
44,"Someone didnt click the button in /r/thebutton Yeah... Thats a good joke , he impossible!",0,[],
45,"What's the difference between a car tyre, and 365 condoms? One's a Goodyear, an the other's a great year.",0,[],
46,"Roses are red, Violets are blue. I have a gun. Get in the van.",0,[],
47,I've struggled for years to be above the influence... But I've never been able to get that high,0,[],
48,"With Facebook, you can stay in touch with people you would otherwise never talk to, but that's only one of the many awful things about it",0,[],
49,"What's the difference between a blonde and a washer? When you dump your load in a washer, it doesn't follow you around for a week.",0,[],
50,"Have you ever heard of the movie ""Constipation""? No? Most likely because it never came out.",0,[],
51,"What's black, blue and doesn't look too well? Stevie Wonder",0,[],
52,I saw a French rifle on eBay today It's never been fired but I heard it was dropped once.,0,[],
53,What did the car said to the valet? I've been through a lot.,0,[],
54,"Bill Clinton must be the luckiest man in the world. All of the sex he has, with Hillary, you know it's hate sex.",0,[],
55,yeah girl.. shake that thing where poop comes out of. it really turns me on when your poop factory shakes faster than usual,0,[],
56,"""I can't stand when people say they hate both of the presidential candidates."" --Stephen Hawking",0,[],
57,A Mexican fireman had twin boys He named them Jose and Hose B,0,[],
58,"I was drinking at the bar, so I took a bus home. That may not be a big deal to you, but I've never driven a bus before!",0,[],
59,Donald Trump will ban the sale of shredded cheese He wants to make America grate again,0,[],
60,"Things have really turned around for me since I re-named my penis and testicles ""JD Power and Associates"".",0,[],
61,My sex face is the same as my first pee in three hours face.,0,[],
62,My cat just walked by me carrying a toy mouse I don't remember buying her. Women be shoppin!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,[],
63,Why did the Xbox owner cross the road? To fuck your mom.,0,[],
64,"Sometimes you check the amount of subscribed people. When you do this, there are 4,111,093,0003.666 ""humorists"". 2/3rds of a person? Really?",0,[],
65,"I don't believe in Bigfoot; because he never believed in me. I'd scan the crowd at my ballet recitals, and always see that one empty seat.",0,[],
66,What did the porn actress say when she opened the door? Make sure to come upstairs.,0,[],
67,"I don't judge people based on color, race, religion, sexuality, or gender...I base it on whether or not they're an asshole.",0,[],
68,Why were the baker's hands brown? Because he kneaded a poo.,0,[],
69,"Not to get too technical, but chemistry says alcohol IS a solution. So I win.",0,[],
70,"I often think if I'd taken a different path in life, I could be lying on a slightly more comfortable sofa right now.",0,[],
71,I'm terrible at telling jokes... I always punch up the fuck lines,0,[],
72,What did the hillbilly say to his sister after she asked him to have sex with her? If you incest.,0,[],
73,"""You know what, we need a huge spoon to take care of this"" -Guy who invented shovels",0,[],
74,How to keep the flies off the bride at an Italian wedding Keep a bucket of shit next to her,0,[],
75,"What do grandparents smell like? ""Depends""",0,[],
76,7% of all hearing loss is a result of sitting in a restaurant next to a table full of women who just received dessert.,0,[],
77,What do people from the 1930's and /r/news jokes have in common? They're both old.,0,[],
78,I like my slaves like I like my coffee Fair Trade.,0,[],
79,ME: I fell off a 50 ft tall ladder once GIRL: holy cow how did you survive ME: I fell off the bottom rung,0,[],
80,What do you call a blind dinosaur? A do-think-he-saurus :) !! Lol What do you call a blind dinosaurs dog? A do-you-think-he-saurus-rex,0,[],
81,I just bought a very tiny amphibian for a pet. It's my-newt!,0,[],
82,"This may be not be a mainstream opinion, but I don't believe you should cut down a Christmas tree unless you intend on eating it.",0,[],
83,"Jenna Jameson to Oprah, ""There's a little bit of Jenna Jameson in everyone."" I'm pretty sure she got that backwards.",0,[],
84,"Even after 20 years, Jared Fogle is still getting into smaller and smaller jeans.",0,[],
85,"I have a degree in men's studies. It's called ""world history"". #TRUMP 2016! YOU CAN'T STUMP THE TRUMP!",0,[],
86,"Why don't most fans like the first 39 episodes of DBZ? Its pretty gay, just Saiyan.",0,[],
87,My ex-wife still misses me... But her aim is gettin better.,0,[],
88,"This doctor once told me eating a bagel was like eating 5 slices of bread and I was like ok, cool, I like bread",0,[],
89,What do you call a three-humped camel? Pregnant (Told to me by one of the kids at work),0,[],
90,"What did the two tampons say to each other? Nothing, they're both stuck-up cunts.",0,[],
91,What do you call Jay-Z having a leg transplant? A hip-hop hip op.,0,[],
92,"What defies the law of gravity? Women. They heavier they are, the easier they are to pick up.",0,[],
93,"Everything has to be related in a woman: if the mouth shuts, the legs open.",0,[],
94,Wanna hear a pun about long hair? Rapunzel.,0,[],
95,"""I'm so pissed I could punch a ba-"" ""A what?"" Big Baby from Toy Story 3 hovers over me, sawed-off shotgun in hand. ""A bagel. I HATE carbs.""",0,[],
96,What's the difference Donald Trump and my Vagina? One's a Cunt and the other has nice hair.,0,[],
97,My doctor had to put me on a new medication that's supposed to help lower the amount of karate in my blood,0,[],
98,[uses the restroom] Wife: make sure to put the toilet seat down Me: okay Me: [to toilet seat] you're worthless and nobody likes you,0,[],
99,Q: What's the difference between a blonde and a supermarket trolley? A: The supermarket trolley has a mind of its own.,0,[],
