joke_index,joke_text,nonzero_feature_count,nonzero_features,kl_divergence
42,Coming on valentines day. Fifty shades of grey. There won't be a dry seat in the cinema.,0,[],
43,Did you hear about the midget psychic who escaped from prison? He's a small medium at large.,0,[],
44,"Someone didnt click the button in /r/thebutton Yeah... Thats a good joke , he impossible!",0,[],
45,"What's the difference between a car tyre, and 365 condoms? One's a Goodyear, an the other's a great year.",0,[],
46,"Roses are red, Violets are blue. I have a gun. Get in the van.",0,[],
47,I've struggled for years to be above the influence... But I've never been able to get that high,0,[],
48,"With Facebook, you can stay in touch with people you would otherwise never talk to, but that's only one of the many awful things about it",0,[],
49,"What's the difference between a blonde and a washer? When you dump your load in a washer, it doesn't follow you around for a week.",0,[],
50,"Have you ever heard of the movie ""Constipation""? No? Most likely because it never came out.",0,[],
51,"What's black, blue and doesn't look too well? Stevie Wonder",0,[],
52,I saw a French rifle on eBay today It's never been fired but I heard it was dropped once.,0,[],
53,What did the car said to the valet? I've been through a lot.,0,[],
54,"Bill Clinton must be the luckiest man in the world. All of the sex he has, with Hillary, you know it's hate sex.",0,[],
55,yeah girl.. shake that thing where poop comes out of. it really turns me on when your poop factory shakes faster than usual,0,[],
56,"""I can't stand when people say they hate both of the presidential candidates."" --Stephen Hawking",0,[],
57,A Mexican fireman had twin boys He named them Jose and Hose B,0,[],
58,"I was drinking at the bar, so I took a bus home. That may not be a big deal to you, but I've never driven a bus before!",0,[],
59,Donald Trump will ban the sale of shredded cheese He wants to make America grate again,0,[],
60,"Things have really turned around for me since I re-named my penis and testicles ""JD Power and Associates"".",0,[],
61,My sex face is the same as my first pee in three hours face.,0,[],
62,My cat just walked by me carrying a toy mouse I don't remember buying her. Women be shoppin!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,[],
63,Why did the Xbox owner cross the road? To fuck your mom.,0,[],
64,"Sometimes you check the amount of subscribed people. When you do this, there are 4,111,093,0003.666 ""humorists"". 2/3rds of a person? Really?",0,[],
65,"I don't believe in Bigfoot; because he never believed in me. I'd scan the crowd at my ballet recitals, and always see that one empty seat.",0,[],
66,What did the porn actress say when she opened the door? Make sure to come upstairs.,0,[],
67,"I don't judge people based on color, race, religion, sexuality, or gender...I base it on whether or not they're an asshole.",0,[],
68,Why were the baker's hands brown? Because he kneaded a poo.,0,[],
69,"Not to get too technical, but chemistry says alcohol IS a solution. So I win.",0,[],
